"Products","Months","Total Sales ($)"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD","03/2019","571,462.447601"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","04/2020","569,915.019369"
"Concentrate - Strain Blends - Oil Cartridge","06/2020","569,501.1794270002"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","03/2021","569,089.756931"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","01/2021","568,606.6256950002"
"Private Label - Vape Pen","04/2019","568,569.1034899999"
"Connected Cannabis Co. - Gelonade - Flower (Gram)","09/2020","568,396.051563"
"Concentrate - Strain Blends - Live Resin","07/2021","566,834.4154740002"
"Pacific Stone - Private Reserve OG - Flower (Gram)","11/2019","566,120.408355"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","10/2018","565,438.348738"
"Fun Uncle - Shotgun OG - Flower (Gram)","09/2020","564,645.04645"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","02/2019","564,606.6107330001"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","03/2021","564,197.337519"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","05/2020","563,626.422748"
"Stiiizy - Vape Pen","06/2020","563,482.54196"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD","02/2019","559,923.674471"
"Pacific Stone - Private Reserve OG - Flower (Gram)","10/2020","558,991.445114"
"Concentrate - Strain Blends - Oil Cartridge","01/2021","558,064.0000919994"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","02/2020","557,975.450059"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","09/2020","557,083.915531"
"Connected Cannabis Co. - Biscotti - Flower (Gram)","03/2020","556,478.2472979999"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD","08/2019","556,045.274426"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","09/2020","555,860.4588720001"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","06/2020","555,853.423181"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","09/2021","555,539.939093"
"Pacific Stone - 805 Glue - Flower (Gram)","05/2020","555,403.454072"
"Connected Cannabis Co. - Biscotti - Flower (Gram)","06/2020","555,221.971745"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg","03/2021","554,253.258084"
"Concentrate - Strain Blends - Live Resin","11/2020","554,202.2083260001"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","08/2020","554,183.2310489998"
"Connected Cannabis Co. - Gushers - Flower (Gram)","01/2020","552,452.5188500001"
"Level - ProTab - Indica, 10 Count, 250mg THC","03/2020","552,000.510881"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg","09/2021","551,878.032474"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","10/2018","551,400.8321809999"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","04/2020","551,207.091059"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg","02/2021","550,805.088049"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","07/2019","550,572.3229539989"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","12/2020","550,018.2507499994"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","12/2019","549,342.103687"
"Fun Uncle - Shotgun OG - Flower (Gram)","05/2021","548,224.2360520001"
"Connected Cannabis Co. - Gelonade - Flower (Gram)","03/2020","547,945.4163619999"
"Pacific Stone - 805 Glue - Flower (Gram)","06/2020","547,093.876573"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC","04/2019","547,003.912382"
"Fun Uncle - Shotgun OG - Flower (Gram)","06/2021","546,416.6766590001"
"Private Label - Vape Pen","01/2019","546,221.35851"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","07/2019","545,617.167782"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","10/2020","545,369.69475"
"Stiiizy - Vape Pen","05/2020","545,226.086659"
"Source Cannabis - Quest - Flower (Gram)","07/2020","544,336.359463"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","05/2020","544,236.192889"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","07/2020","544,117.27203"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD","05/2019","543,933.81881"
"Fun Uncle - Shotgun OG - Flower (Gram)","11/2020","542,731.105196"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","05/2021","542,473.386293"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD","08/2019","540,931.632499"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","04/2021","539,661.41992"
"Concentrate - Strain Blends - Live Resin","04/2021","539,009.6571960003"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","09/2019","539,009.6350509999"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","02/2021","537,355.491155"
"Connected Cannabis Co. - Gelonade - Flower (Gram)","08/2020","536,771.8554"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD","03/2019","536,555.2789360001"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC","10/2018","535,608.2872499999"
"THC Design - Crescendo - Flower (Gram)","12/2020","535,544.55286"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","01/2021","535,494.119763"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","09/2021","535,114.305485"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","05/2021","533,916.577864"
"Concentrate - Strain Blends - Oil Cartridge","03/2021","533,650.5903350003"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","12/2019","532,769.932996"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","03/2019","532,596.782963"
"Source Cannabis - Quest - Flower (Gram)","08/2019","532,436.648536"
"Sublime Canna - Mini Fuzzies - Super Silver Haze - Sativa - Infused Pre-Rolled, 0.80g, 3 Pack","10/2020","532,023.836491"
"Private Label - Vape Pen","09/2019","532,013.1541980001"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD","07/2019","530,466.3691519999"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","03/2020","529,528.484227"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC","11/2018","529,297.128503"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD","01/2019","528,499.096538"
"Caliva - Alien OG - Flower (Gram)","12/2020","528,437.960973"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","12/2020","528,383.301123"
"Connected Cannabis Co. - Biscotti - Flower (Gram)","01/2020","528,204.3295819999"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","11/2020","527,582.416845"
"Caliva - Alien OG - Flower (Gram)","06/2021","526,751.767918"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","05/2021","526,617.4111660001"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","03/2021","526,355.63289"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD","04/2019","526,005.3690469998"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","05/2019","525,624.6455449997"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","08/2019","523,427.56691900006"
"Concentrate - Strain Blends - Live Resin","01/2021","523,056.31077399995"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC","01/2019","522,711.41081800003"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","02/2020","521,942.562787"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","05/2019","521,868.217326"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","06/2021","521,513.03205"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg","04/2021","521,269.847476"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD","06/2019","521,013.648073"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","08/2021","520,954.93625300005"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","12/2019","519,567.081072"
"Concentrate - Strain Blends - Distillate Cartridge","10/2019","518,309.4813159995"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","02/2021","517,337.12659699994"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","06/2019","516,041.19298000005"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","09/2020","516,027.40366999997"
"Source Cannabis - Quest - Flower (Gram)","07/2019","515,437.715196"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","09/2019","513,942.165102"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","06/2021","513,867.38812899997"
"Private Label - Vape Pen","10/2019","513,419.8413809998"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","10/2019","513,205.2340820001"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","07/2021","511,260.28117800003"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg","11/2020","510,791.431598"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","03/2019","510,550.47434300015"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","11/2019","510,323.10039000004"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","02/2021","510,175.913177"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","08/2021","509,993.726904"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","12/2019","508,934.19635700004"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg","01/2021","508,222.75022700004"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","10/2019","508,113.49309400003"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","04/2019","508,073.580904"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD","09/2019","507,296.3710379999"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD","10/2019","507,048.47327500005"
"Connected Cannabis Co. - Biscotti - Flower (Gram)","01/2021","506,423.7356690001"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","06/2019","506,243.648794"
"Sublime Canna - Mini Fuzzies - OG Kush - Indica - Infused Pre-Rolled, 0.80g, 3 Pack","10/2020","506,062.254209"
"Connected Cannabis Co. - Gelonade - Flower (Gram)","01/2020","505,195.390172"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg","12/2020","505,086.2230950001"
"Fun Uncle - Shotgun OG - Flower (Gram)","03/2021","503,801.55684100004"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD","02/2019","503,529.26567999995"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg","08/2020","503,312.188479"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD","09/2019","502,830.7939909999"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD","11/2018","500,480.337049"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","08/2019","500,081.13127099996"
"Sublime Canna - Mini Fuzzies - OG Kush - Indica - Infused Pre-Rolled, 0.80g, 3 Pack","05/2020","499,639.63100999995"
"Concentrate - Strain Blends - Oil Cartridge","10/2018","499,628.6559869998"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg","02/2021","498,901.25067700003"
"Connected Cannabis Co. - Biscotti - Flower (Gram)","08/2019","498,066.065702"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","07/2019","497,504.357037"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD","01/2019","497,438.651981"
"Caliva - Alien OG - Flower (Gram)","01/2021","496,105.712775"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg","09/2020","495,399.215174"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","12/2020","494,982.56219799997"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","06/2020","494,918.536093"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","09/2019","494,863.063727"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","05/2019","494,615.2824530001"
"Private Label - Vape Pen","11/2019","493,309.0812300001"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD","08/2019","492,477.306671"
"Concentrate - Strain Blends - Oil Cartridge","12/2020","492,189.40528000006"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","03/2020","492,140.63749600004"
"Private Label - Vape Pen","07/2020","491,998.3566390001"
"Concentrate - Strain Blends - Oil Cartridge","08/2020","491,988.95622599986"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","02/2020","491,653.43696099997"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","08/2019","491,425.950897"
"Fun Uncle - Shotgun OG - Flower (Gram)","08/2020","491,215.21085199993"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD","07/2019","490,680.53952"
"Concentrate - Strain Blends - Oil Cartridge","04/2021","488,469.2233029999"
"Connected Cannabis Co. - Biscotti - Flower (Gram)","05/2020","487,881.53810099995"
"Sublime Canna - Mini Fuzzies - Super Silver Haze - Sativa - Infused Pre-Rolled, 0.80g, 3 Pack","05/2020","487,624.501802"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","03/2020","487,226.8794299999"
"Level - ProTab - Sativa, 10 Count, 250mg THC","03/2020","486,703.847691"
"Source Cannabis - Quest - Flower (Gram)","06/2020","486,407.824852"
"Private Label - Vape Pen","10/2020","486,243.292088"
"Source Cannabis - Quest - Flower (Gram)","10/2019","486,056.435834"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","03/2021","485,364.740155"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg","01/2021","485,057.799688"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD","10/2018","483,773.823944"
"Fun Uncle - Shotgun OG - Flower (Gram)","02/2021","483,632.558096"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg","12/2020","483,361.744069"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","09/2019","482,973.055597"
"Connected Cannabis Co. - Gelonade - Flower (Gram)","05/2020","482,926.713033"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD","06/2019","482,167.210279"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","08/2019","481,703.23583"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg","01/2021","481,574.243543"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC","05/2019","481,430.957251"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","10/2019","480,403.993239"
"Connected Cannabis Co. - Gushers - Flower (Gram)","12/2019","479,979.89702000003"
"Level - ProTab - Indica, 10 Count, 250mg THC","07/2020","479,768.659447"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","07/2020","479,010.453432"
"Private Label - Vape Pen","12/2020","479,004.350016"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","04/2020","478,891.6240020002"
"Source Cannabis - Quest - Flower (Gram)","07/2021","478,788.634753"
"Connected Cannabis Co. - Gelonade - Flower (Gram)","04/2020","478,711.97524600005"
"Concentrate - Strain Blends - Oil Cartridge","02/2021","477,336.16600500006"
"THC Design - Crescendo - Flower (Gram)","03/2021","477,225.746609"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC","03/2019","476,856.46968"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","05/2020","476,603.688489"
"Concentrate - Strain Blends - Live Resin","09/2020","475,906.0221139999"
"Stiiizy - Vape Pen","04/2020","475,886.5777499999"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","05/2020","475,662.955216"
"Connected Cannabis Co. - Biscotti - Flower (Gram)","12/2020","474,802.350965"
"Concentrate - Strain Blends - Oil Cartridge","12/2019","474,425.1854520007"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD","11/2018","474,060.86737700005"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","11/2020","472,680.99212400004"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","04/2019","472,184.043908"
"Care By Design  - 18:1 - CBD Drops - 15ml, 15mg THC, 300mg CBD","10/2019","471,821.5161459999"
"Connected Cannabis Co. - Gelonade - Flower (Gram)","05/2021","471,544.52457500005"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg","04/2021","470,989.93901699997"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","10/2020","470,913.360812"
"Source Cannabis - Quest - Flower (Gram)","08/2020","470,812.73335500003"
"Sublime Canna - Mini Fuzzies - Super Silver Haze - Sativa - Infused Pre-Rolled, 0.80g, 3 Pack","12/2020","469,949.126078"
"Caliva - Alien OG - Flower (Gram)","09/2020","469,873.60846300004"
"Concentrate - Strain Blends - Oil Cartridge","05/2021","469,802.50454199954"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","08/2020","469,722.83050399995"
"Caliva - Alien OG - Flower (Gram)","08/2020","469,698.934962"
"Private Label - Vape Pen","01/2021","469,570.29740099993"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","07/2019","468,961.357863"
"Up North Humboldt - Durban Poison - Flower (Gram)","12/2019","467,948.57239499997"
"Heavy Hitters - Blue Dream - Distillate Cartridge, 1000mg","05/2020","467,130.3356740001"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","06/2019","467,120.545425"
"THC Design - Crescendo - Flower (Gram)","11/2020","466,877.5953429999"
"Level - ProTab - Sativa, 10 Count, 250mg THC","05/2020","466,679.8517609999"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","06/2021","466,155.02159300004"
"Connected Cannabis Co. - Gelonade - Flower (Gram)","10/2020","465,903.129688"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD","09/2019","465,389.803429"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","01/2020","465,006.70927000005"
"Level - ProTab - Indica, 10 Count, 250mg THC","06/2020","464,610.90871700004"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","10/2020","464,221.47189100005"
"THC Design - Crescendo - Flower (Gram)","07/2021","464,169.655581"
"Level - ProTab - Indica, 10 Count, 250mg THC","05/2020","463,862.366574"
"Kiva Confections - Camino Gummy - Pineapple Habanero, 20 Count, 100mg THC","10/2019","463,741.651491"
"Private Label - Vape Pen","08/2020","462,855.1892769999"
"Pacific Stone - 805 Glue - Flower (Gram)","12/2019","462,803.352895"
"Private Label - Vape Pen","09/2020","462,135.247405"
"THC Design - Crescendo - Flower (Gram)","02/2021","461,993.94822399993"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD","02/2019","461,944.319003"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","02/2020","461,619.356199"
"Private Label - Vape Pen","11/2020","461,577.786823"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","07/2020","461,409.5485419997"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","12/2019","459,497.881024"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","08/2020","459,350.05093100003"
"Connected Cannabis Co. - Biscotti - Flower (Gram)","11/2019","458,872.22364499996"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD","12/2018","458,400.340676"
"Connected Cannabis Co. - Biscotti - Flower (Gram)","12/2019","458,175.45676900004"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","11/2019","457,996.15390100004"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","01/2020","457,148.335108"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 15ml, 45mg THC, 135mg CBD","11/2018","456,415.56220300007"
"Level - ProTab - Indica, 10 Count, 250mg THC","08/2020","456,244.18676099996"
"Private Label - Vape Pen","12/2019","455,710.17733500013"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg","09/2020","455,163.12092200003"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","04/2021","454,534.62979499996"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","11/2019","454,477.045838"
"Concentrate - Strain Blends - Live Resin","03/2021","454,458.5203260004"
"Connected Cannabis Co. - Gushers - Flower (Gram)","01/2021","454,451.404086"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","06/2020","453,976.023709"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","10/2019","453,064.12672400003"
"Concentrate - Strain Blends - Live Resin","09/2021","452,514.52760599996"
"Level - ProTab - Indica, 10 Count, 250mg THC","02/2020","452,410.36474900006"
"Level - ProTab - Indica, 10 Count, 250mg THC","01/2020","452,318.450579"
"Level - ProTab - Indica, 10 Count, 250mg THC","04/2020","451,044.191127"
"Sublime Canna - Mini Fuzzies - OG Kush - Indica - Infused Pre-Rolled, 0.80g, 3 Pack","12/2020","450,505.01932599995"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","02/2020","449,895.449324"
"Care By Design  - 1:1 - CBD Drops - 15ml, 240mg THC, 240mg CBD","12/2018","449,652.650998"
"Level - ProTab - Sativa, 10 Count, 250mg THC","07/2020","449,494.71889500006"
"Connected Cannabis Co. - Gelonade - Flower (Gram)","01/2021","449,218.687224"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","11/2020","448,312.854023"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg","10/2020","447,193.179696"
"Stiiizy - Skywalker OG - Distillate Cartridge, 1000mg","10/2020","447,157.741885"
"Connected Cannabis Co. - Gelonade - Flower (Gram)","02/2020","446,828.746804"
"Level - ProTab - Sativa, 10 Count, 250mg THC","08/2020","446,426.710218"
"Heavy Hitters - Blue Dream - Distillate Cartridge, 1000mg","07/2020","445,875.594758"
"Fun Uncle - Shotgun OG - Flower (Gram)","10/2020","445,793.292102"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","04/2020","445,748.54089700006"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","01/2020","445,498.07564099994"
"Heavy Hitters - Blue Dream - Distillate Cartridge, 1000mg","12/2018","445,300.05387100007"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","02/2021","445,046.427001"
"Stiiizy - Pineapple Express - Distillate Cartridge, 1000mg","08/2020","444,691.876648"
"Sublime Canna - Mini Fuzzies - OG Kush - Indica - Infused Pre-Rolled, 0.80g, 3 Pack","06/2020","444,492.61141300004"
"Private Label - Vape Pen","03/2021","443,900.392844"
"Papa & Barkley - Releaf Balm - CBD Rich - 3:1 - 50ml, 150mg THC, 450mg CBD","11/2019","443,138.33131299994"
"Source Cannabis - Quest - Flower (Gram)","02/2019","441,825.05350199994"
"Kiva Confections - Camino Gummy - Wild Cherry, 20 Count, 100mg THC","03/2020","440,782.45359"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg","09/2020","440,691.16797000007"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","12/2018","440,029.683354"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","03/2020","438,189.3225560003"
"Papa & Barkley - Releaf Tincture - CBD Rich - 30:1 - 30ml, 30mg THC, 870mg CBD","03/2020","438,001.727573"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","12/2020","437,456.58236299996"
"Sublime Canna - Mini Fuzzies - Super Silver Haze - Sativa - Infused Pre-Rolled, 0.80g, 3 Pack","11/2020","436,826.30416500004"
"Heavy Hitters - Blue Dream - Distillate Cartridge, 1000mg","06/2020","436,753.495221"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","01/2021","435,784.477604"
"Papa & Barkley - Releaf Balm - THC Rich - 1:3 - 50ml, 300mg THC, 100mg CBD","07/2019","435,640.55605"
"Papa & Barkley - Releaf Balm - THC Rich - 1:3 - 50ml, 300mg THC, 100mg CBD","04/2019","434,402.941903"
"Kiva Confections - Terra Bites - Blueberry, 20 Count, 100mg THC","11/2019","434,250.7308850001"
"Kiva Confections - Camino Gummy - Sparkling Pear, 20 Count, 40mg THC, 120mg CBD","08/2019","434,155.527196"
"Papa & Barkley - Releaf Balm - THC Rich - 1:3 - 50ml, 300mg THC, 100mg CBD","12/2018","433,866.04137999995"
"Private Label - Vape Pen","06/2021","433,638.0537810001"
"Stiiizy - Blue Dream - Distillate Cartridge, Blueberry, 1000mg","10/2020","433,583.839638"
"Level - ProTab - Sativa, 10 Count, 250mg THC","02/2020","433,247.75847600005"
"Source Cannabis - Quest - Flower (Gram)","09/2020","432,517.96362099994"
"Concentrate - Strain Blends - Oil Cartridge","06/2021","432,470.82643500005"
"Private Label - Vape Pen","01/2020","432,119.0353789999"
"Kiva Confections - Terra Bites - Espresso, 20 Count, 100mg THC","02/2019","432,094.93088400003"
"Infused Pre Roll - Strain Blends - Infused Pre-Rolled, 1.00g, 1 Pack","11/2019","431,172.8611450001"
