"Products","Months","Total Sales ($)"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","11/2020","1,092,976.4145600002"
"Kiva Confections - Camino Gummy - Midnight Blueberry, 20 Count, 100mg THC","06/2020","1,089,097.1924100001"
"Pacific Stone - 805 Glue - Flower (Gram)","11/2020","1,083,924.5878370001"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","11/2020","1,083,175.592636"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","04/2021","1,073,664.302708"
"Wyld - Gummies - Indica - Marionberry, 10 Count, 100mg THC","12/2019","1,070,895.791898"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","12/2020","1,069,507.009005"
"Stiiizy - Vape Pen","07/2021","1,067,117.949966"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","08/2020","1,064,415.6722340002"
"Concentrate - Strain Blends - Distillate Cartridge","06/2021","1,058,887.7785089999"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","10/2020","1,052,239.856562"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","08/2020","1,049,602.203482"
"Pacific Stone - 805 Glue - Flower (Gram)","04/2021","1,047,065.944127"
"Wyld - Gummies - Sativa - Raspberry, 10 Count, 100mg THC","12/2019","1,042,388.972052"
"Pacific Stone - 805 Glue - Flower (Gram)","10/2020","1,041,686.011585"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","05/2021","1,039,536.822202"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","09/2020","1,038,367.1194630001"
"Stiiizy - Vape Pen","03/2021","1,037,982.165422"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","07/2021","1,027,201.4495960001"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","10/2020","1,022,358.213942"
"Concentrate - Strain Blends - Distillate Cartridge","11/2020","1,019,237.4880019998"
"Pacific Stone - Wedding Cake - Flower (Gram)","10/2020","1,018,567.1208570001"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","05/2021","1,017,876.009029"
"Stiiizy - Vape Pen","08/2021","1,009,825.9433810001"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","06/2021","1,008,921.4907729999"
"Pacific Stone - 805 Glue - Flower (Gram)","12/2020","1,008,544.3330989999"
"Pacific Stone - 805 Glue - Flower (Gram)","03/2021","1,007,497.6841169999"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","02/2021","1,007,090.666725"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","07/2020","1,003,593.214279"
"Kiva Confections - Camino Gummy - Watermelon Lemonade, 20 Count, 100mg THC","04/2021","1,001,549.673585"
"Stiiizy - Vape Pen","06/2021","1,000,445.9596340001"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","05/2020","994,781.4498770001"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","07/2021","987,564.2714389999"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC","01/2021","986,759.879093"
"Stiiizy - Vape Pen","09/2021","986,505.7678899999"
"Stiiizy - Vape Pen","05/2021","985,228.2931669999"
"Pacific Stone - Wedding Cake - Flower (Gram)","08/2020","981,654.240189"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","01/2021","979,509.61719"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","08/2021","968,367.1112269999"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","06/2021","967,470.576775"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","01/2019","965,758.1318"
"Stiiizy - Vape Pen","04/2021","964,467.2844149999"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","02/2021","960,570.217668"
"Kiva Confections - Camino Gummy - Wild Berry, 20 Count, 100mg THC","04/2021","959,142.967"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","03/2020","956,005.3492349999"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","09/2019","948,193.888823"
"Pacific Stone - 805 Glue - Flower (Gram)","09/2020","942,937.1402859999"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","04/2019","941,975.694194"
"Wyld - Gummies - 2:1 - Indica - 50mg CBN - Elderberry, 10 Count, 100mg THC","12/2020","939,716.4266330001"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","08/2021","935,975.7404739999"
"Plus Products - Gummies - Sativa - Uplift - Watermelon, 20 Count, 100mg THC","03/2019","934,681.023422"
"Pacific Stone - 805 Glue - Flower (Gram)","07/2020","929,933.9744500001"
"Plus Products - Gummies - Indica - Unwind - Blackberry Lemon, 20 Count, 90mg THC, 10mg CBD","08/2019","921,765.708835"
"Wyld - Gummies - Hybrid - Huckleberry, 10 Count, 100mg THC","01/2021","921,476.0049160001"
"Pacific Stone - 805 Glue - Flower (Gram)","05/2021","912,579.7788390002"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","06/2020","912,025.1171870001"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","02/2020","910,430.943827"
"Wyld - Gummies - 1:1 - Hybrid - Pomegranate, 10 Count, 100mg THC, 100mg CBD","03/2020","904,168.137454"
