Brands,Months,Total Units,vs. Prior Period
11:11,03/2021,"3,499.5585860000000",0.24882486361106100
11:11,04/2021,"3,889.2247390000000",0.1113472294931310
11:11,05/2021,"3,128.819958000000",-0.1955157729443820
11:11,06/2021,"2,281.5345900000000",-0.27080029511880300
11:11,07/2021,"1,936.6957680000000",-0.15114336793815600
11:11,08/2021,"1,305.896702000000",-0.32570890917545500
11:11,09/2021,"1,940.368964000000",0.48585179901924400
14er Holistics,11/2020,10.362008,
14er Holistics,12/2020,,-1
1964 Supply Co.,08/2018,"2,938.1352000000000",
1964 Supply Co.,09/2018,"2,395.534726000000",-0.1846751211448680
1964 Supply Co.,10/2018,"1,910.3292880000000",-0.20254577515984700
1964 Supply Co.,11/2018,502.8156,-0.7367911369215210
1964 Supply Co.,12/2018,"2,251.3479830000000",3.4774823672933000
1964 Supply Co.,01/2019,379.0069440000000,-0.8316533264240390
1964 Supply Co.,02/2019,225.686193,-0.40453282829562100
1964 Supply Co.,03/2019,179.313911,-0.20547239236739700
1964 Supply Co.,04/2019,39.325986,-0.7806863629225060
1964 Supply Co.,05/2019,,-1
19Forty LA,03/2020,168.12950400000000,
19Forty LA,04/2020,120.643846,-0.282435009146283
19Forty LA,05/2020,313.93388300000000,1.6021541372280200
19Forty LA,06/2020,229.00206,-0.27054047874150600
19Forty LA,07/2020,194.51939000000000,-0.15057799043379800
19Forty LA,08/2020,135.953746,-0.3010786945198630
19Forty LA,09/2020,89.730375,-0.3399933606831250
19Forty LA,10/2020,148.760467,0.6578607522814880
19Forty LA,11/2020,52.60712100000000,-0.6463635664709230
19Forty LA,12/2020,34.355322,-0.3469454068775210
19Forty LA,01/2021,11.652963,-0.6608105434144960
19Forty LA,02/2021,,-1
1Lyfe,08/2019,"3,847.845086",
1Lyfe,09/2019,"20,233.686084",4.258446125499760
1Lyfe,10/2019,"62,311.735964",2.0796037709250400
1Lyfe,11/2019,"53,759.00302500000",-0.137257176464178
1Lyfe,12/2019,"69,313.77773800000",0.2893426930883840
1Lyfe,01/2020,"46,838.90326400000",-0.32424829820924000
1Lyfe,02/2020,"41,540.628734",-0.11311696390791000
1Lyfe,03/2020,"34,823.23973300000",-0.16170648364553900
1Lyfe,04/2020,"24,114.782373000000",-0.30750893489821400
1Lyfe,05/2020,"46,958.75531000000",0.9473016419412950
1Lyfe,06/2020,"33,925.665145000000",-0.2775433479648580
1Lyfe,07/2020,"29,332.81884500000",-0.13537969794755600
1Lyfe,08/2020,"45,710.887055000000",0.5583530275949520
1Lyfe,09/2020,"44,881.957662",-0.018134178669571700
1Lyfe,10/2020,"35,445.306228",-0.2102548980832380
1Lyfe,11/2020,"21,451.749396000000",-0.3947929449949520
1Lyfe,12/2020,"24,849.784629000000",0.15840364206537100
1Lyfe,01/2021,"11,773.070525",-0.5262304804339960
1Lyfe,02/2021,"13,691.576983000000",0.16295718724576300
1Lyfe,03/2021,"28,381.77161700000",1.0729366421588900
1Lyfe,04/2021,"42,393.108328",0.4936737882355290
1Lyfe,05/2021,"21,980.316199000000",-0.4815120413220010
1Lyfe,06/2021,"11,901.133307",-0.4585549543849860
1Lyfe,07/2021,"6,736.721893",-0.4339428255090970
1Lyfe,08/2021,"14,711.400528000000",1.1837624829498100
1Lyfe,09/2021,"17,504.206866000000",0.18983959635144800
215 Concentrates,12/2020,"1,518.0259",
215 Concentrates,01/2021,"2,748.463795",0.8105513186566840
215 Concentrates,02/2021,"2,663.9350240000000",-0.03075491521983090
215 Concentrates,03/2021,"2,731.3628000000000",0.025311344080289100
215 Concentrates,04/2021,"2,771.5173100000000",0.014701272932326
215 Concentrates,05/2021,"2,606.931114",-0.05938487030412950
215 Concentrates,06/2021,"1,262.5886840000000",-0.5156800740842280
215 Concentrates,07/2021,,-1
22 Red,06/2019,"4,617.727172000000",
