Brands,Months,ARP,vs. Prior Period
3 Leaf,01/2019,5.374060633377190,-0.1564630143028080
3 Leaf,02/2019,6.355695612624030,0.18266168661181500
3 Leaf,03/2019,5.225661088027300,-0.17779871684732600
3 Leaf,04/2019,4.299037370641160,-0.17732181666146700
3 Leaf,05/2019,3.987460209496070,-0.07247602993007110
3 Leaf,06/2019,5.606455084760880,0.40602157518943800
3 Leaf,07/2019,5.6906622253805200,0.015019676309996500
3 Leaf,08/2019,6.0679351807933400,0.06629684568698800
3 Leaf,09/2019,5.925393675580190,-0.023490940652157700
3 Leaf,10/2019,5.230579412556920,-0.11726043889484400
3 Leaf,11/2019,5.520764665732470,0.055478605769546700
3 Leaf,12/2019,5.153058195644890,-0.06660426450885430
3 Leaf,01/2020,4.784054691380660,-0.07160864291734430
3 Leaf,02/2020,3.2675409892795400,-0.3169933873944620
3 Leaf,03/2020,4.152600002912040,0.27086393607189200
3 Leaf,04/2020,3.003085212084240,-0.27681808746850200
3 Leaf,05/2020,,-1
350 Fire,09/2018,9.84750942030064,
350 Fire,10/2018,10.264163949900300,0.04231065052253330
350 Fire,11/2018,6.617178689328530,-0.3553124519807790
350 Fire,12/2018,8.441390846137220,0.2756782372751380
350 Fire,01/2019,11.390249998614400,0.3493333274369820
350 Fire,02/2019,8.849861556008500,-0.223031842401611
350 Fire,03/2019,8.405283089710980,-0.05023564080453570
350 Fire,04/2019,8.895052641059750,0.058269251150898800
350 Fire,05/2019,9.101995797514210,0.02326497265448430
350 Fire,06/2019,9.069696968593850,-0.0035485435984472200
350 Fire,07/2019,,-1
350 Fire,10/2019,13.529567321563900,
350 Fire,11/2019,13.62925534982980,0.007368160850719270
350 Fire,12/2019,13.687500024596800,0.004273503817481950
350 Fire,01/2020,,-1
3C Farms,11/2018,9.765403274210120,
3C Farms,12/2018,9.91205305318527,0.01501727833016880
3C Farms,01/2019,10.123158247932400,0.0212978273637576
3C Farms,02/2019,,-1
3C Farms,06/2019,11.257108222107700,
3C Farms,07/2019,11.10623081323450,-0.01340285674583320
3C Farms,08/2019,11.356892001626700,0.022569420049645300
3C Farms,09/2019,11.624802534217600,0.02359012769977220
3C Farms,10/2019,12.67104309576740,0.09000071686983220
3C Farms,11/2019,11.348228195126600,-0.10439668546961800
3C Farms,12/2019,11.14591430468460,-0.017827795402360200
3C Farms,01/2020,9.406040462233830,-0.15609969670406400
3C Farms,02/2020,11.328124038918100,0.2043456632364720
3C Farms,03/2020,13.19381308398610,0.16469532277880600
3C Farms,04/2020,13.78102333743170,0.04450648570717930
3C Farms,05/2020,13.473159593534500,-0.022339686709689700
3C Farms,06/2020,13.813554087106900,0.02526463753429240
3C Farms,07/2020,14.353840524398700,0.039112775313637900
3C Farms,08/2020,14.034969758100000,-0.022215013867309100
3C Farms,09/2020,14.770506763300300,0.052407452091290900
3C Farms,10/2020,15.085827224002800,0.021347978492241700
3C Farms,11/2020,14.952832711904400,-0.00881585809804267
3C Farms,12/2020,16.209534272539100,0.08404438040922170
3C Farms,01/2021,16.69070198476130,0.029684240406420000
3C Farms,02/2021,13.316107714025400,-0.2021840827196410
3C Farms,03/2021,11.363988568479400,-0.1465983294420160
3C Farms,04/2021,13.19164440601710,0.16082872897348000
3C Farms,05/2021,14.349479469281300,0.08777033610276250
3C Farms,06/2021,12.266689656353000,-0.1451474123076740
3C Farms,07/2021,13.182939381607100,0.0746941310918003
3C Farms,08/2021,11.319512636971400,-0.14135138535458600
3C Farms,09/2021,13.347923674546600,0.17919596917539400
420 Kingdom,08/2021,12.631875316889300,
420 Kingdom,09/2021,12.272975670285200,-0.028412222065253300
454,12/2018,11.693523887185500,
454,01/2019,10.133059668442500,-0.13344687485122300
454,02/2019,9.70706877986104,-0.04203970987244170
454,03/2019,,-1
454,05/2019,14.540883312311100,
454,06/2019,14.428009020698300,-0.007762547101747290
454,07/2019,4.335374737290970,-0.6995167710893800
454,08/2019,1.1376708085117400,-0.737584204953264
454,09/2019,1.3399776685442600,0.17782548213324300
454,10/2019,1.6491907604033500,0.2307598843755480
454,11/2019,,-1
454,02/2021,5.927866226580110,
454,03/2021,5.814782054826230,-0.0190767077783951
454,04/2021,6.347985650582590,0.09169795028066690
454,05/2021,6.359461620678890,0.0018078128603266200
454,06/2021,6.360994054673980,0.00024096913960558500
454,07/2021,6.481341135035400,0.018919539827740200
454,08/2021,6.628989047598090,0.022780456928052300
454,09/2021,5.771736856740060,-0.1293186916892910
4Geez,04/2021,18.3128864680995,
